outlet_name,therapist_id,therapist_name,therapist_archetype,coaching_priority,deployment_recommendation,service_consistency_score_0_100,coaching_need_score_0_100,coaching_positioning_note,therapist_segment,therapist_segment_action,model_basis_period_start,model_basis_period_end,model_layer_type,therapist_segment_v2,therapist_segment_action_v2
St Julian’s / Paceville Spa,STJ_TH_002,STJ Therapist 002,throughput_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,75,40,Management attention required with service consistency at 75.0 and coaching need at 40.0; improvement plan should come before stretch deployment.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,coaching priority,"Prioritize structured coaching on service consistency, execution discipline, and confidence rebuilding before heavier growth expectations."
St Julian’s / Paceville Spa,STJ_TH_003,STJ Therapist 003,throughput_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,75,40,Management attention required with service consistency at 75.0 and coaching need at 40.0; improvement plan should come before stretch deployment.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,coaching priority,"Prioritize structured coaching on service consistency, execution discipline, and confidence rebuilding before heavier growth expectations."
St Julian’s / Paceville Spa,STJ_TH_004,STJ Therapist 004,throughput_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,75,40,Management attention required with service consistency at 75.0 and coaching need at 40.0; improvement plan should come before stretch deployment.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,coaching priority,"Prioritize structured coaching on service consistency, execution discipline, and confidence rebuilding before heavier growth expectations."
St Julian’s / Paceville Spa,STJ_TH_005,STJ Therapist 005,throughput_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,75,40,Management attention required with service consistency at 75.0 and coaching need at 40.0; improvement plan should come before stretch deployment.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,coaching priority,"Prioritize structured coaching on service consistency, execution discipline, and confidence rebuilding before heavier growth expectations."
St Julian’s / Paceville Spa,STJ_TH_006,STJ Therapist 006,compression_specialist,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,78,38,Balanced structural profile with service consistency at 78.0 and coaching need at 38.0; maintain under standard management cadence.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,balanced core,Maintain as balanced core contributor; continue standard coaching and monitor for either premium upside or emerging support need.
St Julian’s / Paceville Spa,STJ_TH_007,STJ Therapist 007,compression_specialist,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,78,38,Balanced structural profile with service consistency at 78.0 and coaching need at 38.0; maintain under standard management cadence.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,balanced core,Maintain as balanced core contributor; continue standard coaching and monitor for either premium upside or emerging support need.
St Julian’s / Paceville Spa,STJ_TH_008,STJ Therapist 008,compression_specialist,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,78,38,Balanced structural profile with service consistency at 78.0 and coaching need at 38.0; maintain under standard management cadence.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,balanced core,Maintain as balanced core contributor; continue standard coaching and monitor for either premium upside or emerging support need.
St Julian’s / Paceville Spa,STJ_TH_009,STJ Therapist 009,compression_specialist,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,78,38,Balanced structural profile with service consistency at 78.0 and coaching need at 38.0; maintain under standard management cadence.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,balanced core,Maintain as balanced core contributor; continue standard coaching and monitor for either premium upside or emerging support need.
St Julian’s / Paceville Spa,STJ_TH_010,STJ Therapist 010,balanced_core,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,80,36,Stable base profile with service consistency at 80.0; can be developed further through coaching into stronger commercial contribution.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,commercial builder,"Develop commercial edge through service framing, premium conversion, and stronger guest retention habits."
St Julian’s / Paceville Spa,STJ_TH_011,STJ Therapist 011,balanced_core,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,80,36,Stable base profile with service consistency at 80.0; can be developed further through coaching into stronger commercial contribution.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,commercial builder,"Develop commercial edge through service framing, premium conversion, and stronger guest retention habits."
St Julian’s / Paceville Spa,STJ_TH_012,STJ Therapist 012,balanced_core,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,80,36,Stable base profile with service consistency at 80.0; can be developed further through coaching into stronger commercial contribution.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,commercial builder,"Develop commercial edge through service framing, premium conversion, and stronger guest retention habits."
St Julian’s / Paceville Spa,STJ_TH_013,STJ Therapist 013,premium_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,90,28,High structural reliability profile with service consistency at 90.0 and coaching need at 28.0; suitable as premium-quality anchor.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,premium anchor,"Protect as flagship-quality therapist; use selectively for premium service assurance, role-model visibility, and high-trust guest moments."
St Julian’s / Paceville Spa,STJ_TH_014,STJ Therapist 014,premium_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,90,28,High structural reliability profile with service consistency at 90.0 and coaching need at 28.0; suitable as premium-quality anchor.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,premium anchor,"Protect as flagship-quality therapist; use selectively for premium service assurance, role-model visibility, and high-trust guest moments."
St Julian’s / Paceville Spa,STJ_TH_015,STJ Therapist 015,flex_generalist,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,73,48,Management attention required with service consistency at 73.0 and coaching need at 48.0; improvement plan should come before stretch deployment.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,coaching priority,"Prioritize structured coaching on service consistency, execution discipline, and confidence rebuilding before heavier growth expectations."
St Julian’s / Paceville Spa,STJ_TH_016,STJ Therapist 016,flex_generalist,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,73,48,Management attention required with service consistency at 73.0 and coaching need at 48.0; improvement plan should come before stretch deployment.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,coaching priority,"Prioritize structured coaching on service consistency, execution discipline, and confidence rebuilding before heavier growth expectations."
Valletta Spa,VAL_TH_001,VAL Therapist 001,premium_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,90,28,High structural reliability profile with service consistency at 90.0 and coaching need at 28.0; suitable as premium-quality anchor.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,premium anchor,"Protect as flagship-quality therapist; use selectively for premium service assurance, role-model visibility, and high-trust guest moments."
Valletta Spa,VAL_TH_002,VAL Therapist 002,premium_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,90,28,High structural reliability profile with service consistency at 90.0 and coaching need at 28.0; suitable as premium-quality anchor.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,premium anchor,"Protect as flagship-quality therapist; use selectively for premium service assurance, role-model visibility, and high-trust guest moments."
Valletta Spa,VAL_TH_003,VAL Therapist 003,premium_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,90,28,High structural reliability profile with service consistency at 90.0 and coaching need at 28.0; suitable as premium-quality anchor.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,premium anchor,"Protect as flagship-quality therapist; use selectively for premium service assurance, role-model visibility, and high-trust guest moments."
Valletta Spa,VAL_TH_004,VAL Therapist 004,premium_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,90,28,High structural reliability profile with service consistency at 90.0 and coaching need at 28.0; suitable as premium-quality anchor.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,premium anchor,"Protect as flagship-quality therapist; use selectively for premium service assurance, role-model visibility, and high-trust guest moments."
Valletta Spa,VAL_TH_005,VAL Therapist 005,premium_capable,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,90,28,High structural reliability profile with service consistency at 90.0 and coaching need at 28.0; suitable as premium-quality anchor.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,premium anchor,"Protect as flagship-quality therapist; use selectively for premium service assurance, role-model visibility, and high-trust guest moments."
Valletta Spa,VAL_TH_006,VAL Therapist 006,curated_specialist,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,93,24,High structural reliability profile with service consistency at 93.0 and coaching need at 24.0; suitable as premium-quality anchor.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,premium anchor,"Protect as flagship-quality therapist; use selectively for premium service assurance, role-model visibility, and high-trust guest moments."
Valletta Spa,VAL_TH_007,VAL Therapist 007,curated_specialist,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,93,24,High structural reliability profile with service consistency at 93.0 and coaching need at 24.0; suitable as premium-quality anchor.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,premium anchor,"Protect as flagship-quality therapist; use selectively for premium service assurance, role-model visibility, and high-trust guest moments."
Valletta Spa,VAL_TH_008,VAL Therapist 008,curated_specialist,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,93,24,High structural reliability profile with service consistency at 93.0 and coaching need at 24.0; suitable as premium-quality anchor.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,premium anchor,"Protect as flagship-quality therapist; use selectively for premium service assurance, role-model visibility, and high-trust guest moments."
Valletta Spa,VAL_TH_009,VAL Therapist 009,balanced_core,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,80,36,Stable base profile with service consistency at 80.0; can be developed further through coaching into stronger commercial contribution.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,commercial builder,"Develop commercial edge through service framing, premium conversion, and stronger guest retention habits."
Valletta Spa,VAL_TH_010,VAL Therapist 010,flex_generalist,Protect service consistency and strengthen outlet-fit deployment,Deploy against outlet demand pattern and service-consistency guardrails,73,48,Management attention required with service consistency at 73.0 and coaching need at 48.0; improvement plan should come before stretch deployment.,balanced core,Maintain balanced deployment and support cross-functional service coverage.,2017-01,2025-12,therapist_structural_coaching_layer,coaching priority,"Prioritize structured coaching on service consistency, execution discipline, and confidence rebuilding before heavier growth expectations."
